x, y, cal_s11, acc_s11, s11_error,, cal_s22, acc_s22, s22_error, cal_s12, acc_s12, s12_error,,0,3761
2.393375,4.106915,-10.748689,-10.539632,-1.983534,1.983534,0.247436,0.103285,139.566796,-0.177546,-0.161909,-9.657546,,,
2.253434,4.000985,-10.748689,-10.572536,-1.666141,1.666141,0.247436,0.080876,205.945416,-0.177546,-0.187759,5.439581,,,
1.800083,0.354265,-4.749099,-4.701763,-1.006772,1.006772,0.533867,0.200746,165.941255,2.100741,1.718022,22.276666,,,
1.731455,0.400578,-4.749099,-4.712224,-0.782533,0.782533,0.533867,0.401119,33.094396,2.100741,2.007221,4.659167,,,
1.726652,0.350656,-4.749099,-4.392616,-8.11552,8.11552,0.533867,0.324931,64.30141,2.100741,1.824206,15.159197,,,
0.633158,2.261891,-12.129277,-11.715409,-3.532678,3.532678,-1.228518,-1.382891,11.163064,-0.661943,-0.700687,5.529484,,,
0.547536,2.216484,-12.129277,-11.772786,-3.028093,3.028093,-1.228518,-1.622729,24.293097,-0.661943,-0.679462,2.578439,,,
0.656825,2.177867,-12.129277,-11.882131,-2.079982,2.079982,-1.228518,-1.338466,8.214498,-0.661943,-0.730223,9.350536,,,
0.926707,0.74272,-7.59057,-7.276325,-4.318732,4.318732,0.408359,0.364419,12.057604,3.5011,3.268532,7.115368,,,
0.976848,0.761505,-7.59057,-7.741888,1.954541,1.954541,0.408359,0.922999,-55.757385,3.5011,3.229292,8.416971,,,
0.939961,0.796246,-7.59057,-8.446779,10.136519,10.136519,0.408359,0.613765,-33.466562,3.5011,3.274674,6.914471,,,
0.712105,0.821648,-11.534149,-9.621174,-19.882968,19.882968,-1.993228,-2.783131,28.381828,5.115489,4.826244,5.993169,,,
0.736367,0.878759,-11.534149,-10.988452,-4.966095,4.966095,-1.993228,-1.673688,-19.091958,5.115489,4.115179,24.307801,,,
0.679682,0.863418,-11.534149,-11.131734,-3.615028,3.615028,-1.993228,-2.757583,27.718305,5.115489,4.941105,3.529242,,,
0.750447,1.900538,-12.899794,-12.521435,-3.021688,3.021688,-0.856694,-0.976499,12.268806,-0.900865,-0.713065,-26.337017,,,
0.737534,1.816064,-12.899794,-12.754687,-1.137674,1.137674,-0.856694,-0.976869,12.302037,-0.900865,-0.678622,-32.74902,,,
0.793523,1.82946,-12.899794,-12.681129,-1.724332,1.724332,-0.856694,-0.755512,-13.392496,-0.900865,-0.644679,-39.738558,,,
0.030179,2.93221,-10.956823,-10.784793,-1.595118,1.595118,-1.40078,-1.540629,9.077376,-0.122991,-0.027545,-346.513543,,,
0.120715,2.97668,-10.956823,-10.760526,-1.824235,1.824235,-1.40078,-1.485545,5.705965,-0.122991,-0.105517,-16.561016,,,
0.030179,3.024166,-10.956823,-10.72636,-2.148571,2.148571,-1.40078,-1.459836,4.045325,-0.122991,-0.025564,-381.105668,,,
1.461454,0.868407,-8.492967,-8.421866,-0.84424,0.84424,1.765937,1.730583,2.042881,2.722337,2.917275,-6.682206,,,
1.534449,0.821826,-8.492967,-7.899332,-7.514999,7.514999,1.765937,1.557389,13.390861,2.722337,2.911134,-6.485353,,,
1.512649,0.923744,-8.492967,-8.788434,3.361998,3.361998,1.765937,1.696295,4.10553,2.722337,2.767567,-1.634283,,,
0.638426,2.14061,-12.055694,-11.954507,-0.846436,0.846436,-1.665539,-1.398863,-19.063803,-0.780813,-0.73579,-6.118919,,,
0.529137,2.179227,-12.055694,-11.842093,-1.803738,1.803738,-1.665539,-1.692005,1.564177,-0.780813,-0.681341,-14.599327,,,
0.559561,2.112863,-12.055694,-11.995863,-0.498761,0.498761,-1.665539,-1.641833,-1.443908,-0.780813,-0.71714,-8.878641,,,
1.374979,1.900615,-12.269437,-11.915934,-2.966648,2.966648,1.087037,0.778774,39.583055,0.000873,0.077335,-98.871604,,,
1.451791,1.871929,-12.269437,-11.809082,-3.898317,3.898317,1.087037,0.922253,17.867524,0.000873,0.233605,-99.626446,,,
1.462404,1.994376,-12.269437,-11.748299,-4.435865,4.435865,1.087037,0.76512,42.074083,0.000873,0.071963,-98.787372,,,
0.320973,1.112239,-20.568616,-19.857067,-3.583354,3.583354,-2.924222,-2.772519,-5.471655,2.073323,2.790789,-25.708351,,,
0.273081,1.141905,-20.568616,-20.081524,-2.425571,2.425571,-2.924222,-2.857081,-2.349963,2.073323,2.156788,-3.869873,,,
0.271889,1.094158,-20.568616,-21.224048,3.088158,3.088158,-2.924222,-2.680159,-9.106261,2.073323,3.01321,-31.192204,,,
2.170931,2.260929,-11.090486,-10.921579,-1.546544,1.546544,0.949916,0.838936,13.228737,0.414447,0.438532,-5.492224,,,
2.30999,2.230761,-11.090486,-10.775899,-2.919357,2.919357,0.949916,0.843558,12.608284,0.414447,0.542343,-23.582178,,,
2.275857,2.325882,-11.090486,-10.840611,-2.304986,2.304986,0.949916,0.799552,18.806008,0.414447,0.436831,-5.124212,,,
0.930111,2.233161,-11.883144,-11.815269,-0.574467,0.574467,-0.544019,-0.591875,8.085562,-0.651438,-0.664256,1.929783,,,
1.007883,2.308563,-11.883144,-11.698154,-1.581361,1.581361,-0.544019,-0.444589,-22.364334,-0.651438,-0.622071,-4.720766,,,
0.930751,2.329468,-11.883144,-11.666534,-1.85668,1.85668,-0.544019,-0.636658,14.550854,-0.651438,-0.661266,1.486288,,,
1.28837,2.064934,-12.393011,-11.886533,-4.260941,4.260941,0.714433,0.402402,77.542141,-0.27283,-0.237379,-14.934359,,,
1.223098,2.004787,-12.393011,-12.01176,-3.173987,3.173987,0.714433,0.352673,102.576491,-0.27283,-0.267878,-1.84866,,,
1.294433,1.941298,-12.393011,-11.996619,-3.304202,3.304202,0.714433,0.584249,22.282277,-0.27283,-0.096764,-181.954338,,,
3.157216,0.281329,-8.024961,-7.736791,-3.724671,3.724671,-0.175734,-0.303959,42.185028,0.296713,0.382686,-22.46558,,,
3.193935,0.193402,-8.024961,-7.736333,-3.730807,3.730807,-0.175734,-0.324552,45.853306,0.296713,0.258626,14.726706,,,
3.25891,0.252732,-8.024961,-7.846567,-2.273531,2.273531,-0.175734,-0.303921,42.1778,0.296713,0.317266,-6.477886,,,
3.724507,1.169351,-9.19581,-8.987296,-2.320095,2.320095,0.112497,0.064174,75.299847,0.691656,0.742472,-6.844191,,,
3.857438,1.083407,-9.19581,-8.943717,-2.818659,2.818659,0.112497,0.007364,1427.637299,0.691656,0.664207,4.132611,,,
3.855689,1.214767,-9.19581,-9.057351,-1.528692,1.528692,0.112497,0.060169,86.968438,0.691656,0.697453,-0.831134,,,
1.034613,0.37321,-1.493479,-0.822582,-81.559795,81.559795,3.462149,3.548283,-2.427488,1.850696,0.68912,168.55948,,,
1.077291,0.386368,-1.493479,-1.371467,-8.896428,8.896428,3.462149,3.160168,9.555874,1.850696,1.338313,38.285747,,,
1.03014,0.433435,-1.493479,-1.567575,4.72678,4.72678,3.462149,2.763033,25.302495,1.850696,1.253833,47.603048,,,
1.790273,1.088729,-9.503916,-9.293088,-2.268662,2.268662,1.503526,1.388728,8.266371,2.133214,2.23618,-4.604538,,,
